TABLE ID	ID	STUDY	SAMPLE	REGION	MARKER	n_c	m_c	sd_c	n_t	m_t	sd_t	Notes
table7	96	kwakowsky2018	Brain	Cortical region	GABA A receptor	6	171055555,5	28305214,6694117	6	137944444	32115531,9109917	
table7	96	kwakowsky2018	Brain	Cortical region	GABA A receptor	6	113333333,3	67360967,9265374	6	46666666,67	14288690,1654187	
table7	96	kwakowsky2018	Brain	Cortical region	GABA A receptor	6	247333333	88181630,7401944	6	124833333	34701104,2811801	
table7	96	kwakowsky2018	Brain	Cortical region	GABA A receptor	6	200666666,5	16738179,0925218	6	225666666,5	133088941,874723	
table7	96	kwakowsky2018	Brain	Cortical region	GABA A receptor	6	102750000	70218705,5515361	6	38500000	25719642,2992234	
table7	96	kwakowsky2018	Brain	Cortical region	GABA A receptor	6	217833333	70626953,4337517	6	190833333	84915644,0082352	
table7	96	kwakowsky2018	Brain	Cortical region	GABA A receptor	6	455666666,5	78383671,7690617	6	353166666,5	177588006,35178	
table7	20	jansen1990	Brain	Cortical region	GABA A receptor	9	135	30	8	81	22,62	
table7	213	cross1986	Brain	Cortical region	GABA A receptor	13	258	46,87	13	244	72,11	
table7	213	cross1986	Brain	Cortical region	GABA A receptor	13	458	57,68	13	387	43,26	
table7	185	ohyama1999	Brain	Cortical region	GABA A receptor	5	4,59	0,75	5	4,21	1,65	
table7	185	ohyama1999	Brain	Cortical region	GABA A receptor	5	4,84	0,63	5	3,89	1,61	
table7	185	ohyama1999	Brain	Cortical region	GABA A receptor	5	4,6	0,53	5	3,73	1,58	
table7	185	ohyama1999	Brain	Cortical region	GABA A receptor	5	5,36	0,57	5	5,05	1,67	
table7	193	soricelli1996	Brain	Cortical region	GABA A receptor	5	70,3	11,9	6	58	15,2	
table7	193	soricelli1996	Brain	Cortical region	GABA A receptor	5	75,5	14,3	6	56,3	15,6	
table7	193	soricelli1996	Brain	Cortical region	GABA A receptor	5	65,7	9,1	6	52,7	6	
table7	193	soricelli1996	Brain	Cortical region	GABA A receptor	5	71,9	17,5	6	49,8	2,5	
table7	193	soricelli1996	Brain	Cortical region	GABA A receptor	5	70,2	13,4	6	50,4	9	
table7	193	soricelli1996	Brain	Cortical region	GABA A receptor	5	72,5	17	6	45,7	9,2	
table7	193	soricelli1996	Brain	Cortical region	GABA A receptor	5	82,6	18,5	6	76,9	15,9	
table7	166	carlson1993	Brain	Cortical region	GABA A receptor	8	0,1825	0,004242640687119	8	0,23	0,048083261120685	
table7	166	carlson1993	Brain	Cortical region	GABA A receptor	8	0,484	0,148492424049175	8	0,5775	0,222031529292576	
table7	166	carlson1993	Brain	Cortical region	GABA A receptor	8	0,9265	0,425678282274302	8	1,007	0,282842712474619	
table7	166	carlson1993	Brain	Cortical region	GABA A receptor	8	0,425	0,148492424049175	8	0,511	0,124450793488832	
table7	166	carlson1993	Brain	Cortical region	GABA A receptor	8	0,96	0,445477272147525	8	1,037	0,212132034355964	
table7	166	carlson1993	Brain	Cortical region	GABA A receptor	8	0,3405	0,089095454429505	8	0,3495	0,098994949366117	
table7	166	carlson1993	Brain	Cortical region	GABA A receptor	8	0,1775	0	8	0,16885	0	
table7	166	carlson1993	Brain	Cortical region	GABA A receptor	8	0,1425	0,025455844122716	8	0,1505	0,007071067811865	
table7	166	carlson1993	Brain	Cortical region	GABA A receptor	8	0,383	0,098994949366117	8	0,3275	0,098994949366117	
table7	166	carlson1993	Brain	Cortical region	GABA A receptor	8	0,7325	0,311126983722081	8	0,6025	0,311126983722081	
table7	166	carlson1993	Brain	Cortical region	GABA A receptor	8	0,304	0,069296464556282	8	0,2335	0,066468037431536	
table7	166	carlson1993	Brain	Cortical region	GABA A receptor	8	0,249	0,055012907576313	8	0,22	0,02941564209736	
table7	166	carlson1993	Brain	Cortical region	GABA A receptor	8	0,152	0,003818376618407	8	0,152	0	
table7	166	carlson1993	Brain	Cortical region	GABA A receptor	8	0,538	0,135764501987817	8	0,344	0,026162950903902	
table7	166	carlson1993	Brain	Cortical region	GABA A receptor	8	0,95	0,227405540829594	8	0,664	0,058265598769772	
table7	166	carlson1993	Brain	Cortical region	GABA A receptor	8	1,22	0,273791745675431	8	0,91	0,096166522241371	
table7	166	carlson1993	Brain	Cortical region	GABA A receptor	8	0,839	0,168291413922398	8	0,581	0,063639610306789	
table7	166	carlson1993	Brain	Cortical region	GABA A receptor	8	0,807	0,175079639021789	8	0,572	0,07778174593052	
table7	166	carlson1993	Brain	Cortical region	GABA A receptor	8	0,404	0,038183766184074	8	0,3485	0,011313708498985	
table7	53	shimohama1988	Brain	Cortical region	GABA A receptor	7	1300	285,74	7	903	82,01	
