"table.id"	"id"	"study"	"sample"	"region"	"marker"	"n_c"	"m_c"	"sd_c"	"n_t"	"m_t"	"sd_t"	"notes"	"yi"	"vi"	"ci_low"	"ci_high"	"n_samples_c"	"n_samples_t"	"weights"
"table20"	"S5"	"davies1979"	"Brain"	"Striatum"	"GAD"	14	0.68	0.63	7	0.75	0.79	"YES"	0.0981534624588574	0.21456478576288	-0.809724166343152	1.00603109126087	14	7	37.7636321857756
"table21"	"100"	"schwab2013"	"Brain"	"Cerebellum"	"GAD65  "	4	16.58	7.47	4	12.76	3.9	"N/A"	-0.68749060452131	0.0607902082065672	-1.17073286418715	-0.204248344855467	8	8	57.2876858553354
"table21"	"106"	"burbaeva2014"	"Brain"	"Cerebellum"	"GAD65  "	13	160.93	85.17	13	47.48	27.11	"N/A"	-1.73826389993098	0.221720460904163	-2.66115610396602	-0.815371695895931	13	13	42.7123141446646
"table22"	"238"	"govindpani2020"	"Brain"	"Medial temporal gyrus"	"GAD65  "	6	893.37	95.3341407891213	6	822.335	169.039287149467	"YES"	-0.477653112346296	0.347122132654318	-1.63240649655571	0.677100271863114	6	6	39.8324117489724
"table22"	"100"	"schwab2013"	"Brain"	"Medial temporal gyrus"	"GAD65  "	9	43.44	27.96	10	9.075	12.67	"N/A"	-1.63291227246445	0.0757240421230559	-2.17225519635632	-1.09356934857258	18	20	60.1675882510276
"table23"	"53"	"shimohama1988"	"Brain"	"Caudate"	"GABA A receptor"	7	512	82.01	6	449	188.61	"YES"	-0.415959749124636	0.318855594741178	-1.52269848836989	0.690778990120616	7	6	6.59521033086582
"table23"	"184"	"meyer1995"	"Brain"	"Caudate"	"GABA A receptor"	6	2.4	0.6	13	2.2	0.7	"N/A"	-0.284202519109036	0.246235815457666	-1.25677886329013	0.688373825072057	6	13	8.54026742041078
"table23"	"10"	"griffiths1994"	"Brain"	"Caudate"	"GABA A receptor"	9	80	8	5	76	4	"N/A"	-0.618644688991951	0.0247797272260378	-0.927173944860592	-0.31011543312331	18	10	84.8645222487234
"table24"	"53"	"shimohama1988"	"Brain"	"Cerebellum"	"GABA A receptor"	7	721	357.17	7	580	206.36	"YES"	-0.452439785388427	0.295681670253022	-1.51820193535954	0.613322364582684	7	7	47.0022275073682
"table24"	"184"	"meyer1995"	"Brain"	"Cerebellum"	"GABA A receptor"	6	4	1.1	13	4.4	0.8	"N/A"	0.425111898022102	0.249510160762545	-0.553909556244395	1.4041333522886	6	13	52.9977724926318
"table25"	"96"	"kwakowsky2018"	"Brain"	"Dentate gyrus"	"GABA A receptor"	6	9410144.5	2644738.57018042	6	19994927.5	7946640.74726154	"YES"	-0.0618032988715314	0.0140480408785307	-0.294106916033003	0.17050031828994	144	144	31.8599062113587
"table25"	"20"	"jansen1990"	"Brain"	"Dentate gyrus"	"GABA A receptor"	9	276	78	8	300	107.48	"YES"	0.245093558148534	0.238375484305563	-0.711833610878889	1.20202072717596	9	8	16.1599034086909
"table25"	"212"	"rissman2004"	"Brain"	"Dentate gyrus"	"GABA A receptor"	6	0.13	0.048989794855664	6	0.08	0.017146428199482	"YES"	-1.69376861945455	0.133424394565929	-2.40969062456478	-0.97784661434431	12	12	21.0018114587479
"table25"	"79"	"howell2000"	"Brain"	"Dentate gyrus"	"GABA A receptor"	5	162	42.485291572496	5	148	53.665631459995	"YES"	-0.111224302066896	0.0206185422685134	-0.392658630227544	0.170210026093752	10	10	30.9783789212025
"table26"	"96"	"kwakowsky2018"	"Brain"	"Entorhinal cortex"	"GABA A receptor"	6	106017241	47722817.1068718	6	5832241	7820735.74973762	"YES"	0.00164098921353101	0.0138890010907888	-0.229343914515784	0.232625892942846	48	48	54.9173610726618
"table26"	"20"	"jansen1990"	"Brain"	"Entorhinal cortex"	"GABA A receptor"	9	135	30	8	81	22.62	"YES"	-1.91146540856857	0.373837480052315	-3.10983149839798	-0.713099318739165	9	8	45.0826389273382
"table27"	"185"	"ohyama1999"	"Brain"	"Frontal cortex"	"GABA A receptor"	5	4.59	0.75	5	4.21	1.65	"N/A"	-0.267655365503188	0.405703321623284	-1.51605137776639	0.980740646760017	5	5	13.5317821711238
"table27"	"193"	"soricelli1996"	"Brain"	"Frontal cortex"	"GABA A receptor"	5	70.3	11.9	6	58	15.2	"N/A"	-0.980052214345727	0.060325864068665	-1.46144532048931	-0.498659108202143	10	12	32.3207663742279
"table27"	"53"	"shimohama1988"	"Brain"	"Frontal cortex"	"GABA A receptor"	7	1300	285.74	7	903	82.01	"YES"	-1.76764313134366	0.437856179609573	-3.06456505781288	-0.470721204874443	7	7	12.8370574847188
"table27"	"210"	"cross1984"	"Brain"	"Frontal cortex"	"GABA A receptor"	14	214	41.15	12	186	41.56	"YES"	-0.655908609696726	0.164425987742318	-1.45066370465622	0.138846485262765	14	12	22.7850156171384
"table27"	"184"	"meyer1995"	"Brain"	"Frontal cortex"	"GABA A receptor"	6	5.5	1.5	13	5.8	1	"N/A"	0.245012540550473	0.245556372487709	-0.726221052912274	1.21624613401322	6	13	18.5253783527912
"table28"	"185"	"ohyama1999"	"Brain"	"Visual cortex"	"GABA A receptor"	5	5.36	0.57	5	5.05	1.67	"N/A"	-0.224272684147889	0.404004319454937	-1.47005194090596	1.02150657261018	5	5	2.97429399027697
"table28"	"166"	"carlson1993"	"Brain"	"Visual cortex"	"GABA A receptor"	8	0.1825	0.004242640687119	8	0.23	0.048083261120685	"YES"	-0.409236813556977	0.0130460865490709	-0.633102854415047	-0.185370772698906	152	152	92.1063657581159
"table28"	"184"	"meyer1995"	"Brain"	"Visual cortex"	"GABA A receptor"	6	6.4	1.9	13	6.6	1	"N/A"	0.143676683619257	0.244266010875788	-0.825001705772476	1.11235507301099	6	13	4.91934025160708
"table29"	"238"	"govindpani2020"	"Brain"	"Temporal gyrus"	"GABA A receptor"	6	2202.48	351.685489820095	6	951.12	325.145268457039	"YES"	-1.20122245970246	0.0740111971261229	-1.73443064233873	-0.668014277066183	96	96	42.7983578954979
