TABLE ID	ID	STUDY	SAMPLE 	REGION	MARKER	n_c	m_c	sd_c	n_t	m_t	sd_t	Notes
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	5758550,5	536348,8473	6	10589855	1073923,664	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	8595362	428571,2986	6	14863768	2748930,066	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	24218965,5	3082555,468	6	22779310	2525507,207	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	5543620,5	2036834,004	6	12306896,5	3205029,955	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	7563103	1444269,367	6	17915517	3009070,776	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	10798985,5	5679974,795	6	16848550,5	2950924,788	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	17100000	6189398,851	6	17465217	4286607,05	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	24850000	3379585,493	6	15519565	1780334,461	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	150205882	25111386,23	6	121521008	30966489,74	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	10056905	2890929,436	6	9588554,5	2322754,368	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	7501086,5	2506466,099	6	5310652	3242378,55	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	7783043	3455377,605	6	5910000	4142299,036	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	7016739	4081061,792	6	8490869,5	7176472,182	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	4255434,5	3214155,529	6	4933260,5	5912855,133	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	3975000	2878681,987	6	4796304	4755737	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	3897203	3761834,491	6	3240169	3358290,854	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	2226694,5	2597496,486	6	1603559	2311404,658	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	2492288	2881263,749	6	1852203	4001386,015	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	7354421,5	2848841,078	6	8654161,5	1736595,147	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	5911878,5	3379657,753	6	6578699	2814788,272	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	5745173	2778045,926	6	6465895,5	1862157,216	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	154857142,5	29228175,06	6	48719747,5	43046179,03	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	6755797	2344764,258	6	17980434,5	7224218,861	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	4323913	1922316,684	6	12109420	6201823,888	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	4028985,5	2167265,658	6	4468840,5	3734583,918	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	7352173,5	6608297,115	6	4784782,5	6959745,004	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	3021739	2502739,2	6	1669565	2060765,519	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	3302173,5	3083161,717	6	2647826	5021453,973	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	5497558	6233951,395	6	5230348,5	4728084,71	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	2515000	3146454,082	6	2863488	2653423,236	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	4148953	5944568,677	6	1839302	1074071,858	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	7356896,5	2263665,327	6	7629310	3754476,224	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	9534482,5	5895668,289	6	7443103	7264003,474	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	6246551,5	2263665,327	6	8281034	6702309,756	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	66833333	60012498,7	6	178888888,5	60760953,76	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	8498255,5	10081399,23	6	5732906,5	2435248,409	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	6112325,5	2520980,55	6	5043139,5	1262854,033	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	5452558	2435248,409	6	5078139,5	1639362,652	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	11214035	2829589,314	6	11351754	2148781,809	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	5898596	1665351,738	6	8010087,5	1321885,511	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	4704561	236031,6069	6	5610877	1622829,821	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	8068478	1775453,852	6	10791304	3647608,661	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	4647826	1584446,316	6	6809782,5	1148543,695	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	4604347,5	1414206,779	6	6599347,5	2232177,137	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	7434210,5	2719362,275	6	4684561	3313901,201	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	5051140	1104225,077	6	6200175	758309,3603	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	9704561	996791,6817	6	3518245,5	4245781,404	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	50883898	36352087,31	6	36951694,5	26396365,28	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	2448395,5	3953894,083	6	2517379,5	2616499,628	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	6144745,5	3147594,319	6	5569745,5	1695268,581	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	5336140	3507223,505	6	5276548	1746819,317	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	1371754	251072,6986	6	8055087,5	7099866,84	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	366798	0	6	4215263	4353214,8	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	441657,5	0	6	3628245,5	5251146,3	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	846318	0	6	3324090,5	5827557,777	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	5479158	0	6	2170909	3974853,142	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	385045	0	6	2467272,5	3796709,101	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	7846734	2753551,028	6	5814075	2040969,967	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	5800173	1525833,701	6	3508005,5	1034448,912	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	6158583,5	1412172,478	6	5127254	2331736,647	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	39305555,5	68286330,04	6	53394444	50214539,73	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	10613157,5	1504029,568	6	11264035	5453766,867	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	6377894,5	1339913,755	6	5652017,5	1892810,131	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	8722105	1213227,371	6	7423070	3181972,908	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	13810465	1996276,577	6	11663953	6476621,119	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	8524186	3484825,37	6	4851860	1508144,711	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	8923604,5	1404383,101	6	7662209	4002351,114	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	12096491	1471304,385	6	11219298	5309591,125	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	6450614	1955272,119	6	8588245,5	3917893,932	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	8055087,5	3101564,733	6	7423722	3991378,624	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	12384210,5	3179179,265	6	8544385,5	837574,8484	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	12102631,5	4377709,697	6	7176491	1310862,807	
